Date,C20_PX_LAST,C20_PX_HIGH,C20_PX_LOW,C20_PX_BID,C20_PX_ASK,C20_PX_MID,C25_PX_LAST,C25_PX_HIGH,C25_PX_LOW,C25_PX_BID,C25_PX_ASK,C25_PX_MID,Futures_PX_LAST,Futures_PX_HIGH,Futures_PX_LOW,Futures_PX_BID,Futures_PX_ASK,Futures_PX_MID,Spread_Close,Spread_Widest,Spread_Narrowest,Futures_Last,Futures_High,Futures_Low,PnL_Close,PnL_Close_Pct,PnL_Best_Exit,PnL_Best_Exit_Pct,PnL_Worst_Intraday,PnL_Worst_Intraday_Pct
2026-01-16,1.55,1.58,1.42,1.45,2.05,1.75,0.92,0.95,0.87,0.65,2.0,1.33,18.38,18.5,18.05,18.35,18.4,18.375,0.63,0.7100000000000001,0.47,18.38,18.5,18.05,0.0,0.0,0.08000000000000007,12.7,-0.16000000000000003,-25.4
2026-01-20,2.6,2.84,1.92,2.38,2.97,2.68,1.52,1.65,1.11,1.27,1.83,1.55,20.25,20.65,18.8,20.2,20.25,20.225,1.08,1.7299999999999998,0.27,20.25,20.65,18.8,0.45000000000000007,71.4,1.0999999999999996,174.6,-0.36,-57.1
2026-01-21,1.49,2.56,1.41,1.44,1.66,1.55,0.87,1.63,0.85,0.69,1.04,0.87,18.4,20.45,18.2,18.35,18.45,18.4,0.62,1.71,-0.21999999999999997,18.4,20.45,18.2,-0.010000000000000009,-1.6,1.08,171.4,-0.85,-134.9
2026-01-22,1.2,1.48,1.19,1.12,1.39,1.25,0.7,0.87,0.69,0.65,0.78,0.72,18.0,18.45,17.95,17.95,18.05,18.0,0.5,0.79,0.31999999999999995,18.0,18.45,17.95,-0.13,-20.6,0.16000000000000003,25.4,-0.31000000000000005,-49.2
2026-01-23,1.41,1.44,1.15,1.39,1.49,1.44,0.85,0.85,0.67,0.82,0.89,0.86,18.43,18.51,17.8,18.4,18.45,18.425,0.5599999999999999,0.7699999999999999,0.29999999999999993,18.43,18.51,17.8,-0.07000000000000006,-11.1,0.1399999999999999,22.2,-0.33000000000000007,-52.4
2026-01-26,1.27,1.62,1.19,1.24,1.3,1.27,0.73,0.9,0.69,0.7,0.75,0.73,18.3,19.2,18.04,18.3,18.35,18.325,0.54,0.9300000000000002,0.2899999999999999,18.3,19.2,18.04,-0.08999999999999997,-14.3,0.30000000000000016,47.6,-0.3400000000000001,-54.0
2026-01-27,1.38,1.38,1.15,1.33,1.44,1.39,0.77,0.77,0.66,0.74,0.96,0.85,18.56,18.65,18.02,18.55,18.6,18.575,0.6099999999999999,0.7199999999999999,0.3799999999999999,18.56,18.65,18.02,-0.02000000000000013,-3.2,0.08999999999999986,14.3,-0.2500000000000001,-39.7
2026-01-28,1.29,1.49,1.2,1.23,1.4,1.32,0.74,0.85,0.67,0.68,0.86,0.77,18.4,18.95,18.23,18.4,18.5,18.45,0.55,0.82,0.35,18.4,18.95,18.23,-0.07999999999999996,-12.7,0.18999999999999995,30.2,-0.28,-44.4
2026-01-29,1.37,2.12,1.35,1.33,2.2,1.77,0.77,1.2,0.75,0.72,0.8,0.76,18.75,20.1,18.3,18.7,18.8,18.75,0.6000000000000001,1.37,0.15000000000000013,18.75,20.1,18.3,-0.029999999999999916,-4.8,0.7400000000000001,117.5,-0.47999999999999987,-76.2
2026-01-30,1.59,1.93,1.28,1.55,1.67,1.61,0.9,1.03,0.71,0.89,1.0,0.95,19.1,20.0,18.5,19.05,19.1,19.075,0.6900000000000001,1.22,0.25,19.1,20.0,18.5,0.06000000000000005,9.5,0.59,93.7,-0.38,-60.3
2026-02-02,0.9,2.4,0.88,0.86,0.96,0.91,0.5,1.45,0.49,0.4,0.54,0.47,17.95,20.9,17.85,17.95,18.0,17.975,0.4,1.91,-0.57,17.95,20.9,17.85,-0.22999999999999998,-36.5,1.2799999999999998,203.2,-1.2,-190.5
2026-02-03,1.3,1.94,0.9,1.23,1.36,1.3,0.7,1.11,0.49,0.63,0.73,0.68,18.94,20.05,17.89,18.9,19.0,18.95,0.6000000000000001,1.45,-0.21000000000000008,18.94,20.05,17.89,-0.029999999999999916,-4.8,0.82,130.2,-0.8400000000000001,-133.3
2026-02-04,1.4,2.08,1.14,1.08,1.58,1.33,0.75,1.11,0.59,0.6,0.92,0.76,19.03,20.4,18.55,19.0,19.1,19.05,0.6499999999999999,1.4900000000000002,0.029999999999999805,19.03,20.4,18.55,0.019999999999999907,3.2,0.8600000000000002,136.5,-0.6000000000000002,-95.2
2026-02-05,2.33,2.65,1.45,2.32,3.25,2.79,1.26,1.43,0.79,1.4,1.64,1.52,21.29,21.36,18.95,21.25,21.35,21.3,1.07,1.8599999999999999,0.020000000000000018,21.29,21.36,18.95,0.44000000000000006,69.8,1.23,195.2,-0.61,-96.8
2026-02-06,1.09,1.21,1.01,0.99,1.36,1.18,0.54,1.45,0.5,0.45,0.58,0.52,19.14,22.15,18.95,19.1,19.15,19.125,0.55,0.71,-0.43999999999999995,19.14,22.15,18.95,-0.07999999999999996,-12.7,0.07999999999999996,12.7,-1.0699999999999998,-169.8
2026-02-09,0.65,1.07,0.63,0.72,0.78,0.75,0.31,0.54,0.29,0.17,0.43,0.3,18.41,19.4,18.05,18.4,18.45,18.425,0.34,0.78,0.08999999999999997,18.41,19.4,18.05,-0.29,-46.0,0.15000000000000002,23.8,-0.54,-85.7
2026-02-10,0.77,0.8,0.6,0.59,0.85,0.72,0.35,0.35,0.26,0.18,0.4,0.29,18.75,18.9,18.2,18.75,18.8,18.775,0.42000000000000004,0.54,0.25,18.75,18.9,18.2,-0.20999999999999996,-33.3,-0.08999999999999997,-14.3,-0.38,-60.3
2026-02-11,0.59,0.98,0.48,0.53,0.83,0.68,0.22,0.4,0.19,0.18,0.42,0.3,18.7,19.46,18.1,18.7,18.75,18.725,0.37,0.79,0.07999999999999996,18.7,19.46,18.1,-0.26,-41.3,0.16000000000000003,25.4,-0.55,-87.3
2026-02-12,1.6,1.73,0.43,1.21,1.52,1.37,0.49,0.6,0.15,0.25,0.81,0.53,20.5,20.88,18.2,20.5,20.55,20.525,1.11,1.58,-0.16999999999999998,20.5,20.88,18.2,0.4800000000000001,76.2,0.9500000000000001,150.8,-0.8,-127.0
2026-02-13,1.56,2.32,0.71,1.48,1.7,1.59,0.38,0.66,0.16,0.15,0.6,0.38,21.2,21.81,19.5,21.15,21.2,21.175,1.1800000000000002,2.1599999999999997,0.04999999999999993,21.2,21.81,19.5,0.5500000000000002,87.3,1.5299999999999998,242.9,-0.5800000000000001,-92.1
2026-02-17,0.48,2.49,0.22,0.0,0.97,0.97,0.02,0.34,0.01,0.0,0.22,0.22,20.15,22.45,19.53,20.1,20.15,20.125,0.45999999999999996,2.4800000000000004,-0.12000000000000002,20.15,22.45,19.53,-0.17000000000000004,-27.0,1.8500000000000005,293.7,-0.75,-119.0
2026-02-18,,,,,,,,,,,,,19.85,20.3,19.35,19.75,19.95,19.85,,,,19.85,20.3,19.35,,,,,,
